Wavelength,%T
300,5.58939E-05
301,5.77721E-05
302,5.89458E-05
303,0.000001
304,2.10047E-05
305,5.09056E-05
306,3.93508E-05
307,6.38343E-05
308,0.000001
309,6.30254E-05
310,5.42183E-05
311,0.000001
312,0.000001
313,1.6418E-07
314,0.000001
315,1.16996E-05
316,0.000001
317,6.79618E-05
318,0.000001
319,7.78699E-05
320,0.000001
321,7.51998E-05
322,0.000001
323,0.000001
324,1.06363E-05
325,0.000119739
326,7.0876E-05
327,3.06153E-05
328,0.000001
329,4.24939E-06
330,0.000001
331,0.000001
332,1.66798E-05
333,2.34915E-05
334,5.23245E-05
335,0.000069453
336,2.32834E-05
337,0.000001
338,2.49283E-05
339,7.27835E-05
340,1.524E-05
341,0.000001
342,0.000001
343,1.55847E-05
344,1.79574E-05
345,4.25792E-05
346,7.85608E-05
347,7.33552E-05
348,5.96484E-05
349,1.24964E-05
350,2.59187E-05
351,2.38743E-05
352,5.4977E-05
353,3.6916E-05
354,2.47489E-05
355,4.71261E-05
356,3.39512E-05
357,1.96674E-05
358,0.000001
359,4.62294E-05
360,6.69537E-05
361,2.37484E-05
362,3.28654E-05
363,3.06443E-05
364,2.05678E-05
365,2.94344E-05
366,3.62661E-06
367,2.86391E-05
368,2.06316E-06
369,2.87299E-05
370,3.15954E-05
371,3.30733E-05
372,0.000011048
373,2.97592E-05
374,4.5897E-05
375,1.35959E-05
376,2.45169E-05
377,1.12002E-05
378,2.8006E-05
379,3.68511E-05
380,0.000001
381,2.78165E-05
382,1.45023E-05
383,1.33793E-05
384,0.000019239
385,0.000036076
386,1.48819E-05
387,3.83678E-05
388,0.000019349
389,1.76365E-05
390,1.06991E-05
391,3.13623E-05
392,0.000004641
393,1.19751E-05
394,3.2196E-05
395,4.56434E-05
396,2.40622E-05
397,7.33187E-05
398,5.98931E-05
399,1.88958E-05
400,7.35824E-06
401,0.000001
402,0.000001
403,2.30232E-05
404,1.16298E-05
405,3.00438E-05
406,1.94711E-05
407,3.86526E-06
408,2.03544E-05
409,1.41314E-05
410,6.90437E-06
411,0.000001
412,9.59667E-06
413,5.91544E-06
414,1.93085E-05
415,1.55836E-05
416,0.000001
417,1.32161E-05
418,0.000001
419,4.46871E-06
420,5.67223E-06
421,5.36181E-06
422,1.21968E-05
423,9.59263E-06
424,5.32491E-06
425,0.000001
426,0.000001
427,4.2213E-06
428,0.000001
429,1.47373E-06
430,1.13389E-05
431,0.000001
432,0.000001
433,6.55214E-06
434,6.65232E-06
435,7.70256E-06
436,0.000001
437,1.2294E-05
438,9.59262E-06
439,0.000001
440,0.000022552
441,7.46061E-06
442,4.15712E-06
443,1.97068E-05
444,2.83375E-05
445,6.73551E-05
446,0.000434099
447,0.00800312
448,0.227556005
449,17.0374006
450,77.13999748
451,94.50799823
452,94.80999708
453,95.80060244
454,95.49700022
455,96.78410292
456,97.04859853
457,97.15750217
458,97.9376018
459,98.09049964
460,98.44530225
461,98.23629856
462,97.91389704
463,98.66880178
464,98.8451004
465,98.46569896
466,98.25009704
467,97.44070172
468,96.85419798
469,97.5210011
470,98.06889892
471,97.54220247
472,97.27609754
473,98.07980061
474,98.77189994
475,98.14450145
476,97.74469733
477,97.83030152
478,97.90700078
479,98.63619804
480,98.24979901
481,98.28699827
482,96.94439769
483,95.07480264
484,96.47780061
485,97.42379785
486,95.69219947
487,94.64989901
488,94.07430291
489,49.6859014
490,3.295020014
491,1.24850003
492,0.087410101
493,0.00950387
494,0.00143774
495,0.000272047
496,4.43662E-05
497,1.33949E-05
498,2.23516E-07
499,0.000001
500,0.000001
501,0.000001
502,0.000001
503,0.000001
504,0.000001
505,0.000001
506,9.95358E-07
507,0.000001
508,0.000001
509,0.000001
510,0.000001
511,0.000001
512,0.000001
513,0.000001
514,0.000001
515,0.000001
516,0.000001
517,0.000001
518,0.000001
519,0.000001
520,0.000001
521,0.000001
522,0.000001
523,0.000001
524,0.000001
525,0.000001
526,0.000001
527,0.000001
528,0.000001
529,0.000001
530,0.000001
531,0.000001
532,0.000001
533,0.000001
534,0.000001
535,0.000001
536,0.000001
537,0.000001
538,0.000001
539,0.000001
540,0.000001
541,0.000001
542,0.000001
543,0.000001
544,0.000001
545,0.000001
546,0.000001
547,0.000001
548,0.000001
549,0.000001
550,0.000001
551,0.000001
552,0.000001
553,0.000001
554,0.000001
555,0.000001
556,0.000001
557,0.000001
558,0.000001
559,0.000001
560,0.000001
561,0.000001
562,0.000001
563,0.000001
564,0.000001
565,0.000001
566,0.000001
567,0.000001
568,0.000001
569,0.000002253
570,0.000001
571,1.80779E-05
572,1.16755E-08
573,0.000001
574,0.000001
575,0.000001
576,3.4421E-05
577,4.24662E-05
578,0.000001
579,0.000001
580,0.000001
581,0.000001
582,0.000001
583,4.58518E-05
584,0.000001
585,0.000001
586,0.000001
587,0.000001
588,0.000001
589,0.000001
590,0.000001
591,1.93417E-05
592,0.000001
593,0.000001
594,0.000001
595,0.000001
596,0.000001
597,0.000001
598,0.000001
599,0.000001
600,0.000001
601,0.000001
602,0.000001
603,0.000001
604,0.000001
605,0.000001
606,0.000001
607,0.000001
608,0.000001
609,0.000001
610,0.000001
611,0.000001
612,0.000001
613,5.91455E-06
614,0.000001
615,0.000001
616,0.000001
617,0.000001
618,0.000001
619,0.000001
620,0.000001
621,0.000001
622,0.000012277
623,4.49783E-06
624,0.000001
625,0.000001
626,0.000001
627,0.000001
628,0.000001
629,2.74737E-05
630,0.000297551
631,0.000212554
632,3.55523E-05
633,7.7274E-06
634,1.29131E-05
635,0.000111726
636,0.000133789
637,1.21403E-05
638,0.000001
639,0.000001
640,0.000001
641,0.000001
642,0.000001
643,0.000001
644,0.000001
645,0.000001
646,0.000001
647,0.000001
648,0.000001
649,1.59703E-05
650,0.000001
651,0.000001
652,0.000001
653,0.000001
654,0.000001
655,0.000001
656,0.000001
657,0.000001
658,0.000001
659,0.000001
660,0.000001
661,0.000001
662,0.000001
663,0.000001
664,8.17615E-06
665,0.000001
666,0.000001
667,0.000001
668,0.000001
669,0.000001
670,0.000001
671,0.000001
672,0.000001
673,0.000001
674,0.000001
675,0.000001
676,0.000001
677,0.000001
678,0.000001
679,0.000001
680,0.000001
681,0.000001
682,0.000001
683,0.000001
684,0.000001
685,0.000001
686,0.000001
687,0.000001
688,0.000001
689,0.000001
690,0.000001
691,0.000001
692,1.48769E-06
693,0.000001
694,0.000001
695,0.000001
696,0.000001
697,1.94566E-06
698,5.00037E-05
699,0.000001
700,5.78779E-07
701,0.000001
702,0.000001
703,0.000001
704,0.000001
705,0.000001
706,0.000001
707,0.000001
708,0.000001
709,0.000001
710,0.000001
711,0.000001
712,0.000001
713,1.74716E-06
714,0.000001
715,0.000001
716,0.000001
717,0.000001
718,2.51366E-05
719,0.000205232
720,0.000217725
721,4.66003E-05
722,1.55053E-05
723,3.4704E-05
724,2.32838E-05
725,2.62243E-05
726,6.64628E-05
727,8.90753E-05
728,0.000133414
729,0.000135848
730,0.000107879
731,0.000125833
732,0.000115736
733,0.000124438
734,9.84574E-05
735,9.16981E-05
736,7.15251E-05
737,6.34295E-05
738,4.5299E-05
739,5.05232E-05
740,4.59941E-05
741,4.71751E-05
742,3.02541E-05
743,3.82725E-05
744,5.29494E-05
745,4.06843E-05
746,1.20891E-05
747,1.29286E-05
748,1.17308E-05
749,1.25392E-05
750,4.43671E-05
751,2.37585E-05
752,6.85413E-06
753,0.000001
754,1.22163E-05
755,0.000001
756,3.69317E-05
757,3.57307E-06
758,0.000001
759,5.87438E-06
760,0.000001
761,4.12879E-05
762,0.000001
763,0.000001
764,2.06457E-05
765,3.53103E-06
766,3.13645E-05
767,2.24468E-05
768,0.00003552
769,3.10908E-05
770,5.37971E-06
771,1.5135E-05
772,0.000001
773,1.23462E-06
774,0.000001
775,5.67388E-06
776,0.000001
777,2.29718E-05
778,3.63003E-05
779,0.000020445
780,5.18246E-05
781,1.61197E-05
782,0.000001
783,0.000001
784,0.000001
785,6.06809E-06
786,3.66236E-06
787,2.30717E-05
788,4.67347E-05
789,1.61935E-05
790,3.33468E-05
791,9.81617E-05
792,6.86822E-05
793,9.20849E-05
794,9.68479E-05
795,5.57019E-05
796,0.000101397
797,3.16295E-05
798,0.000107656
799,5.22273E-05
800,0.000001
801,4.68923E-05
802,8.83292E-05
803,0.000113074
804,0.000001
805,1.58742E-05
806,0.000001
807,0.000001
808,0.000001
809,0.000001
810,0.000001
811,5.47173E-05
812,0.000001
813,9.15504E-05
814,0.000001
815,5.71418E-05
816,0.000001
817,0.000001
818,0.000001
819,8.14774E-05
820,2.69072E-05
821,5.04266E-06
822,0.000001
823,6.30563E-05
824,2.17006E-06
825,0.000001
826,0.000101166
827,7.1521E-05
828,0.000001
829,7.03611E-05
830,0.000001
831,0.000001
832,0.000001
833,0.000001
834,8.84181E-05
835,2.82127E-05
836,1.67091E-05
837,0.000001
838,7.69959E-05
839,0.000302956
840,9.25166E-05
841,0.000001
842,0.000001
843,0.000001
844,6.94916E-05
845,0.000001
846,0.000001
847,0.000209024
848,0.000001
849,0.000001
850,0.000001
851,0.000001
852,0.000001
853,0.000001
854,0.000001
855,0.000001
856,0.000001
857,0.000001
858,0.000001
859,6.04844E-05
860,0.000121399
861,0.000001
862,0.000183659
863,0.000177776
864,0.000001
865,0.000001
866,0.000001
867,0.000001
868,0.000001
869,0.000001
870,0.000001
871,8.58679E-05
872,0.000001
873,0.000001
874,0.000001
875,0.000001
876,0.000001
877,0.000001
878,0.000001
879,0.000001
880,0.000001
881,0.000195021
882,0.000001
883,0.000001
884,0.000001
885,0.000001
886,0.000001
887,0.000001
888,0.000001
889,0.000001
890,0.000001
891,0.000001
892,0.000001
893,2.54797E-05
894,2.29036E-05
895,0.000364298
896,0.000123377
897,9.36641E-05
898,8.13276E-05
899,0.000001
900,0.000001
901,0.000001
902,0.000001
903,0.000001
904,0.000168177
905,0.000001
906,4.15511E-06
907,7.40748E-05
908,0.000001
909,3.63158E-05
910,0.000001
911,0.000001
912,0.000001
913,0.000001
914,0.000001
915,5.81191E-05
916,9.88683E-05
917,0.000001
918,0.000001
919,0.000001
920,4.90821E-05
921,0.000001
922,0.000001
923,0.000001
924,2.74076E-05
925,0.000001
926,0.000001
927,0.00014171
928,0.000144146
929,0.000001
930,0.00011914
931,0.000142831
932,3.16803E-05
933,0.000001
934,0.000001
935,0.000242867
936,0.000288657
937,0.000001
938,0.000001
939,5.8965E-05
940,0.000001
941,0.000001
942,0.000001
943,0.000196777
944,0.000001
945,0.000001
946,0.000001
947,0.000001
948,3.83865E-05
949,9.0998E-05
950,2.01506E-06
951,0.000001
952,0.000203397
953,0.000001
954,0.000001
955,0.000001
956,4.06643E-05
957,3.5946E-05
958,7.88782E-05
959,0.000001
960,0.000001
961,0.000001
962,0.000001
963,0.000001
964,0.000001
965,3.97611E-06
966,0.000001
967,0.000076876
968,7.40055E-05
969,0.000001
970,0.000001
971,0.000001
972,5.04908E-05
973,0.000001
974,0.000001
975,0.000001
976,9.26054E-05
977,0.000001
978,0.000001
979,0.000001
980,0.000001
981,0.000001
982,1.60772E-06
983,3.25441E-05
984,0.000001
985,0.000001
986,0.000001
987,0.000001
988,0.000001
989,0.000001
990,0.000001
991,0.000001
992,0.000001
993,5.09603E-05
994,0.000001
995,0.000001
996,1.60924E-06
997,0.000001
998,0.000001
999,0.000001
1000,0.000001
1001,6.98008E-05
1002,0.000001
1003,0.000001
1004,0.000001
1005,0.000001
1006,0.000001
1007,0.000001
1008,0.000137018
1009,9.62611E-06
1010,0.000001
1011,0.000001
1012,0.000001
1013,0.000001
1014,0.000166765
1015,0.000001
1016,0.00019075
1017,0.000001
1018,0.000001
1019,0.000175969
1020,0.000001
1021,3.77088E-05
1022,0.000001
1023,0.000001
1024,0.000001
1025,0.000001
1026,0.000001
1027,0.000001
1028,0.000001
1029,0.000001
1030,0.000001
1031,0.00011971
1032,0.000001
1033,8.27917E-06
1034,0.000001
1035,0.000001
1036,0.000001
1037,0.000001
1038,0.000001
1039,0.000001
1040,0.000001
1041,0.000001
1042,0.000001
1043,0.000001
1044,0.000001
1045,0.000001
1046,0.000001
1047,0.000001
1048,0.000001
1049,0.000246792
1050,0.000001
1051,5.60083E-05
1052,6.95896E-05
1053,0.000359865
1054,0.00051592
1055,0.000371602
1056,0.000314613
1057,0.000596585
1058,0.000530429
1059,0.000513976
1060,0.000583008
1061,0.000441968
1062,0.000343827
1063,0.000304543
1064,0.000904878
1065,0.000527977
1066,0.00064228
1067,0.000816956
1068,0.000635094
1069,0.00124127
1070,0.000972568
1071,0.00128997
1072,0.00101141
1073,0.00121426
1074,0.00135398
1075,0.00133623
1076,0.00162628
1077,0.0015406
1078,0.0019775
1079,0.00225379
1080,0.00258236
1081,0.00335323
1082,0.00403233
1083,0.00469638
1084,0.00565138
1085,0.00682397
1086,0.00870791
1087,0.0108984
1088,0.013692801
1089,0.0181574
1090,0.0224303
1091,0.0291895
1092,0.038333199
1093,0.049971399
1094,0.064936402
1095,0.083406002
1096,0.104935002
1097,0.135565002
1098,0.170141004
1099,0.209772005
1100,0.259450008
1101,0.310061988
1102,0.384530006
1103,0.456523011
1104,0.547005981
1105,0.654747989
1106,0.773959979
1107,0.943981018
1108,1.092979964
1109,1.325230021
1110,1.561100036
1111,1.91606991
1112,2.251720056
1113,2.743520029
1114,3.308499977
1115,4.037439823
1116,4.801280051
1117,5.882129818
1118,7.076379657
1119,8.376579732
1120,9.408149868
1121,11.24939993
1122,12.29410022
1123,12.97529936
1124,13.4552002
1125,14.18949962
1126,13.47029954
1127,13.81060034
1128,13.64250034
1129,12.70779967
1130,13.16020042
1131,12.70609945
1132,12.18449995
1133,12.77170032
1134,12.24140003
1135,12.2928001
1136,12.85569966
1137,12.18290031
1138,13.03350031
1139,13.01559955
1140,12.84060031
1141,14.04320002
1142,13.30550015
1143,14.27070051
1144,14.26640004
1145,14.85379934
1146,15.27410001
1147,14.96510059
1148,16.34380072
1149,15.21759927
1150,17.00190008
1151,16.25040025
1152,17.89820045
1153,17.02390015
1154,18.39520037
1155,18.6480999
1156,18.97259951
1157,20.21079957
1158,20.24469972
1159,22.44919986
1160,21.34229988
1161,23.93680066
1162,22.61099964
1163,26.58070028
1164,24.57859963
1165,28.36430073
1166,26.36660039
1167,30.47319949
1168,28.65889966
1169,32.35299885
1170,30.58570027
1171,33.2893014
1172,32.46929944
1173,34.04720128
1174,34.33369994
1175,34.56850052
1176,34.73190069
1177,35.01699865
1178,33.39929879
1179,35.6328994
1180,31.93939924
1181,34.9673003
1182,31.55210018
1183,31.74360096
1184,32.58840144
1185,28.06209922
1186,30.36879897
1187,27.72789896
1188,26.30789876
1189,27.67120004
1190,23.79869968
1191,24.78159964
1192,25.09729862
1193,21.88729942
1194,23.90689999
1195,23.38349968
1196,21.45189941
1197,23.98680001
1198,22.84689993
1199,22.30319977
1200,25.94879866
