Wavelength,%T
301,9.5E-05
302,9.5E-05
303,9.5E-05
304,9.5E-05
305,9.5E-05
306,9.5E-05
307,9.5E-05
308,9.5E-05
309,9.5E-05
310,9.5E-05
311,9.5E-05
312,9.5E-05
313,9.5E-05
314,9.5E-05
315,9.5E-05
316,9.5E-05
317,9.5E-05
318,9.5E-05
319,9.5E-05
320,9.5E-05
321,9.5E-05
322,9.5E-05
323,9.5E-05
324,9.5E-05
325,9.5E-05
326,9.5E-05
327,9.5E-05
328,9.5E-05
329,9.5E-05
330,9.5E-05
331,9.5E-05
332,9.5E-05
333,9.5E-05
334,9.5E-05
335,9.5E-05
336,9.5E-05
337,9.5E-05
338,9.5E-05
339,9.5E-05
340,9.5E-05
341,9.5E-05
342,0.000130884
343,0.000179051
344,0.000196584
345,0.000282768
346,0.000241138
347,0.000226833
348,0.000541235
349,0.000917797
350,0.000668083
351,0.00168677
352,0.00270569
353,0.00255775
354,0.00153154
355,0.000846826
356,0.000321941
357,0.000298916
358,0.000277049
359,0.000262077
360,0.000300928
361,0.000273045
362,0.000228209
363,0.000197789
364,0.000313604
365,0.000263596
366,0.000213869
367,0.000366809
368,0.000102011
369,0.000188154
370,0.000578142
371,0.000242162
372,0.000305131
373,0.000511109
374,9.5E-05
375,9.5E-05
376,9.5E-05
377,9.5E-05
378,9.5E-05
379,9.5E-05
380,0.00018652
381,9.5E-05
382,9.5E-05
383,9.5E-05
384,9.5E-05
385,9.5E-05
386,9.5E-05
387,9.5E-05
388,9.5E-05
389,9.5E-05
390,9.5E-05
391,9.5E-05
392,9.5E-05
393,9.5E-05
394,9.5E-05
395,9.5E-05
396,9.5E-05
397,9.5E-05
398,9.5E-05
399,9.5E-05
400,9.5E-05
401,9.5E-05
402,9.5E-05
403,9.5E-05
404,9.5E-05
405,9.5E-05
406,9.5E-05
407,9.5E-05
408,9.5E-05
409,9.5E-05
410,9.5E-05
411,9.5E-05
412,9.5E-05
413,9.5E-05
414,9.5E-05
415,9.5E-05
416,9.5E-05
417,9.5E-05
418,9.5E-05
419,9.5E-05
420,9.5E-05
421,9.5E-05
422,9.5E-05
423,9.5E-05
424,9.5E-05
425,9.5E-05
426,9.5E-05
427,9.5E-05
428,9.5E-05
429,9.5E-05
430,9.5E-05
431,9.5E-05
432,9.5E-05
433,9.5E-05
434,9.5E-05
435,9.5E-05
436,9.5E-05
437,9.5E-05
438,9.5E-05
439,9.5E-05
440,9.5E-05
441,9.5E-05
442,9.5E-05
443,9.5E-05
444,9.5E-05
445,9.5E-05
446,9.5E-05
447,9.5E-05
448,9.5E-05
449,9.5E-05
450,9.5E-05
451,9.5E-05
452,9.5E-05
453,9.5E-05
454,9.5E-05
455,9.5E-05
456,9.5E-05
457,9.5E-05
458,9.5E-05
459,9.5E-05
460,9.5E-05
461,9.5E-05
462,9.5E-05
463,9.5E-05
464,9.5E-05
465,9.5E-05
466,9.5E-05
