Wavelength,%T
300.5,0.000156019
301,0.000146034
301.5,0.000165863
302,0.000168048
302.5,0.000184958
303,0.000146704
303.5,0.000258109
304,0.000130098
304.5,0.0001285
305,0.000152312
305.5,8.20073E-05
306,0.00024528
306.5,0.00010355
307,0.000245579
307.5,0.000153729
308,0.000184043
308.5,0.000177291
309,0.000216248
309.5,0.000134686
310,0.000135966
310.5,0.000143569
311,0.000137111
311.5,8.142E-05
312,0.000197701
312.5,0.000136464
313,0.000185413
313.5,0.000186083
314,0.000155481
314.5,0.000129249
315,0.000171391
315.5,0.000119737
316,0.00014186
316.5,0.000153741
317,0.000177609
317.5,0.000178676
318,8.26785E-05
318.5,0.000151987
319,0.000144002
319.5,0.00016953
320,0.000146936
320.5,0.00016209
321,0.000105579
321.5,0.000150133
322,0.000168926
322.5,0.000114975
323,9.55295E-05
323.5,0.000140513
324,0.000111787
324.5,0.00012618
325,0.000109575
325.5,0.000143886
326,0.000106951
326.5,0.000187668
327,0.000131911
327.5,8.30847E-05
328,0.000176776
328.5,0.000131507
329,0.000167345
329.5,0.000176185
330,0.000125236
330.5,0.000164623
331,0.000108746
331.5,0.000149146
332,0.000125215
332.5,0.000115128
333,0.000133245
333.5,0.000213723
334,9.72671E-05
334.5,0.000154205
335,0.000106119
335.5,0.000124606
336,0.000178165
336.5,0.000157281
337,0.000148321
337.5,0.000124615
338,0.000128336
338.5,0.000173943
339,0.000138962
339.5,0.000148865
340,0.000212443
340.5,0.000135968
341,0.000117984
341.5,0.000124411
342,0.000157292
342.5,0.000167494
343,0.000126322
343.5,0.000185662
344,0.000151361
344.5,0.000140526
345,0.00016588
345.5,0.000118433
346,0.00014208
346.5,0.000108286
347,0.000137975
347.5,0.000128155
348,0.000110995
348.5,0.000107003
349,0.000152879
349.5,0.000166181
350,0.000108802
350.5,0.00017869
351,0.000162487
351.5,0.000143063
352,0.000204198
352.5,0.00028218
353,0.000351693
353.5,0.000305639
354,0.000251012
354.5,0.000249629
355,0.000187682
355.5,0.000248536
356,0.000190875
356.5,0.000190594
357,0.000189852
357.5,0.000108846
358,0.000101213
358.5,0.000111842
359,0.000125874
359.5,6.53502E-05
360,9.50508E-05
360.5,8.15169E-05
361,0.000112687
361.5,0.000162428
362,9.44358E-05
362.5,6.40657E-05
363,0.000116603
363.5,8.07455E-05
364,0.000121781
364.5,0.000141138
365,0.000126782
365.5,0.000127035
366,0.000160981
366.5,0.000129047
367,0.00012815
367.5,0.000125216
368,0.00013284
368.5,9.82559E-05
369,0.000136409
369.5,0.000119254
370,0.000152276
370.5,8.81622E-05
371,0.00011319
371.5,0.000111656
372,0.000149403
372.5,0.000120675
373,0.000101221
373.5,0.000113456
374,0.000111007
374.5,9.94658E-05
375,0.000120229
375.5,0.000107234
376,0.000124459
376.5,9.15307E-05
377,0.000137775
377.5,0.000123799
378,0.00010304
378.5,0.000127336
379,0.000115152
379.5,0.000119528
380,0.000122358
380.5,0.000141256
381,0.000123765
381.5,0.000145958
382,0.000126727
382.5,0.000119575
383,0.000119645
383.5,0.000145564
384,0.000141405
384.5,0.000128568
385,0.000146759
385.5,0.00016553
386,0.000260615
386.5,0.000586372
387,0.00151445
387.5,0.00452185
388,0.0142078
388.5,0.046235599
389,0.159756001
389.5,0.51217298
390,1.665670052
390.5,5.258199945
391,14.65409994
391.5,32.94180036
392,54.04859781
392.5,69.62360144
393,77.29629874
393.5,79.97379899
394,81.32839799
394.5,81.85459971
395,82.62140155
395.5,83.07369947
396,84.1587007
396.5,84.46289897
397,85.07230282
397.5,85.59709787
398,85.71180105
398.5,86.24789715
399,86.88349724
399.5,86.98400259
400,87.31970191
400.5,87.42700219
401,87.85250187
401.5,88.16840053
402,88.70609999
402.5,89.07240033
403,89.02860284
403.5,89.09350038
404,89.35130239
404.5,89.81810212
405,90.08730054
405.5,90.78329802
406,91.07069969
406.5,91.17469788
407,90.88169932
407.5,90.71059823
408,90.94550014
408.5,91.46050215
409,92.05210209
409.5,92.57349968
410,92.60929823
410.5,92.45610237
411,92.26059914
411.5,92.29090214
412,92.57810116
412.5,92.93040037
413,93.63359809
413.5,93.80999804
414,93.92070174
414.5,93.86429787
415,93.54900122
415.5,93.26630235
416,93.5608983
416.5,93.9669013
417,94.44249868
417.5,94.75250244
418,94.82240081
418.5,94.59879994
419,94.27760243
419.5,93.9710021
420,93.82269979
420.5,93.7681973
421,94.4773972
421.5,94.51779723
422,95.15839815
422.5,95.54209709
423,95.4677999
423.5,94.87689734
424,94.13369894
424.5,93.68199706
425,93.15490127
425.5,93.29670072
426,93.51119995
426.5,93.95030141
427,94.45679784
427.5,95.09519935
428,95.60189843
428.5,95.79570293
429,95.50210238
429.5,95.01299858
430,94.87339854
430.5,94.78600025
431,94.70819831
431.5,94.97579932
432,95.30559778
432.5,95.94020247
433,95.96729875
433.5,96.34760022
434,96.07149959
434.5,96.10620141
435,95.80910206
435.5,96.07620239
436,96.09490037
436.5,96.35779858
437,96.38640285
437.5,95.86129785
438,95.87720037
438.5,95.2459991
439,94.29739714
439.5,93.88750196
440,93.63660216
440.5,93.96920204
441,94.45869923
441.5,94.87479925
442,95.20549774
442.5,95.29460073
443,94.69550252
443.5,94.01720166
444,93.04839969
444.5,92.0337975
445,91.59039855
445.5,91.64170027
446,92.22790003
446.5,93.18249822
447,94.13949847
447.5,94.61320043
448,94.95329857
448.5,94.73469853
449,94.18259859
449.5,93.17039847
450,92.54760146
450.5,92.23309755
451,92.33559966
451.5,92.91869998
452,93.62649918
452.5,94.75499988
453,95.65389752
453.5,96.02659941
454,95.91850042
454.5,95.76230049
455,95.2319026
455.5,94.79960203
456,94.6747005
456.5,94.58360076
457,94.89549994
457.5,95.48299909
458,95.99019885
458.5,96.31000161
459,96.39059901
459.5,95.94690204
460,95.66079974
460.5,95.58899999
461,95.19680142
461.5,95.2722013
462,95.50279975
462.5,95.8540976
463,95.95379829
463.5,96.40669823
464,96.35350108
464.5,95.9495008
465,95.7638979
465.5,95.06080151
466,94.42589879
466.5,94.12699938
467,94.01059747
467.5,94.42030191
468,94.64489818
468.5,95.07269859
469,95.95289826
469.5,96.21790051
470,96.27900124
470.5,96.10350132
471,95.56000233
471.5,95.30550241
472,94.85809803
472.5,94.61320043
473,94.51019764
473.5,94.90780234
474,95.34950256
474.5,95.66389918
475,96.2962985
475.5,96.41939998
476,96.60440087
476.5,96.37380242
477,95.88209987
477.5,95.28020024
478,95.31340003
478.5,94.81930137
479,94.94190216
479.5,95.22669911
480,95.66969872
480.5,95.93629837
481,96.46099806
481.5,96.72309756
482,96.54999971
482.5,96.18890285
483,96.04129791
483.5,95.76100111
484,95.20949721
484.5,94.95369792
485,94.98519897
485.5,95.25750279
486,95.70239782
486.5,96.04489803
487,96.44650221
487.5,96.87839746
488,96.80309892
488.5,96.56350017
489,96.28059864
489.5,95.64939737
490,95.17840147
490.5,94.93929744
491,94.70649958
491.5,94.88459826
492,95.09230256
492.5,95.55900097
493,96.17499709
493.5,96.5125978
494,96.89800143
494.5,96.88910246
495,96.54920101
495.5,96.27699852
496,95.55860162
496.5,95.1973021
497,94.50920224
497.5,94.61280107
498,94.56149936
498.5,94.77189779
499,95.27260065
499.5,95.87829709
500,96.40259743
500.5,96.97909951
501,96.99959755
