Wavelength,%T
380,1.448220015
381,1.19735999
382,0.875596981
383,0.641161995
384,0.524466997
385,0.526115997
386,0.610694988
387,0.651266007
388,0.38397999
389,0.591717986
390,0.919041038
391,1.725620031
392,2.547300048
393,1.94124002
394,0.909180008
395,0.61429101
396,0.51192902
397,0.465048011
398,0.621967018
399,0.871418044
400,1.405439992
401,1.980219968
402,1.53126996
403,0.843210984
404,0.506704999
405,0.394055992
406,0.371921994
407,0.386109995
408,0.373763009
409,0.57305498
410,0.92027802
411,1.322260033
412,1.201380044
413,0.744447997
414,0.425394997
415,0.363973994
416,0.311584002
417,0.272768992
418,0.265638996
419,0.309538003
420,0.424489984
421,0.710747996
422,0.948629994
423,0.908317044
424,0.577598019
425,0.389543991
426,0.258355006
427,0.211272994
428,0.193022995
429,0.226667011
430,0.220882008
431,0.314567005
432,0.460280012
433,0.703452015
434,0.997375976
435,0.995855965
436,0.692571979
437,0.422560982
438,0.284534995
439,0.234306999
440,0.199675001
441,0.174461002
442,0.213223998
443,0.254530995
444,0.371378008
445,0.537345978
446,0.877487008
447,1.445490029
448,1.506800018
449,0.939160958
450,0.519005023
451,0.324363005
452,0.247696997
453,0.204159995
454,0.220475998
455,0.295621995
456,0.315168989
457,0.29972801
458,0.454295008
459,1.108680014
460,2.422679961
461,2.58709006
462,1.141779963
463,0.394607987
464,0.180228997
465,0.125565997
466,0.100257003
467,0.086379203
468,0.080488902
469,0.063929398
470,0.063736801
471,0.061386399
472,0.0706324
473,0.060224498
474,0.068435603
475,0.055646698
476,0.062367797
477,0.070567301
478,0.066340901
479,0.0752842
480,0.062292197
481,0.093622901
482,0.088795001
483,0.089202903
484,0.101117999
485,0.119433994
486,0.132587005
487,0.176734
488,0.209024991
489,0.276691001
490,0.353302993
491,0.466101011
492,0.626394991
493,0.813786034
494,1.071109995
495,1.38071999
496,1.766419969
497,2.224580012
498,2.787560038
499,3.50105986
500,4.378519952
501,5.566649884
502,7.096060365
503,9.357330203
504,12.35809997
505,16.19939953
506,21.67979926
507,27.59509981
508,34.58740115
509,41.45250022
510,46.88929915
511,52.35679746
512,58.4987998
513,66.5463984
514,77.87290215
515,88.36789727
516,95.33089995
517,97.88889885
518,98.18710089
519,98.01719785
520,98.09759855
521,98.44620228
522,98.71789813
523,98.90000224
524,98.91160131
525,98.79159927
526,98.62890244
527,98.4507978
528,98.36549759
529,98.3035028
530,98.44970107
531,98.54789972
532,98.71960282
533,98.74719977
534,99.02899861
535,99.00169969
536,98.88240099
537,98.61249924
538,98.56160283
539,98.54230285
540,98.46240282
541,98.36390018
542,98.39190245
543,98.46169949
544,98.5122025
545,98.4555006
546,98.526299
547,98.48160148
548,98.43249917
549,98.30849767
550,98.21479917
551,98.12420011
552,98.07869792
553,97.96519876
554,97.88110256
555,97.87480235
556,97.88299799
557,97.92550206
558,97.87799716
559,97.97149897
560,98.13529849
561,98.16960096
562,98.19380045
563,98.14990163
564,98.13029766
565,98.02240133
566,98.00549746
567,97.86350131
568,97.79220223
569,97.64379859
570,97.64009714
571,97.68000245
572,97.69430161
573,97.74309993
574,97.90369868
575,98.08059931
576,98.07779789
577,98.24029803
578,98.30520153
579,98.38879704
580,98.45010042
581,98.44830036
582,98.39519858
583,98.3716011
584,98.33920002
585,98.2344985
586,98.24360013
587,98.16690087
588,98.08200002
589,98.10330272
590,98.11069965
591,98.17050099
592,98.18490148
593,98.17640185
594,98.0922997
595,98.13619852
596,98.15980196
597,97.99330235
598,97.84860015
599,97.65110016
600,97.46869802
601,97.42900133
602,97.05340266
603,96.71170115
604,96.68200016
605,96.43149972
606,96.26740217
607,96.13959789
608,95.93319893
609,95.97600102
610,96.15420103
611,96.20310068
612,96.31130099
613,96.49829865
614,96.77680135
615,97.04409838
616,97.4134028
617,97.65279889
618,97.86059856
619,98.03950191
620,98.16110134
621,98.29030037
622,98.34719896
623,98.32699895
624,98.24299812
625,98.09330106
626,97.93999791
627,97.76710272
628,97.5153029
629,97.17400074
630,96.90930247
631,96.66460156
632,96.49130106
633,96.31389976
634,96.25750184
635,96.21580243
636,96.21459842
637,96.3078022
638,96.43679857
639,96.59240246
640,96.80060148
641,96.98489904
642,97.17339873
643,97.44809866
644,97.58989811
645,97.78900146
646,97.98259735
647,98.27659726
648,98.4193027
649,98.47440124
650,98.51930141
651,98.57760072
652,98.56219888
653,98.59510064
654,98.57079983
655,98.54679704
656,98.49810004
657,98.38960171
658,98.33980203
659,98.31690192
660,98.27070236
661,98.23549986
662,98.17100167
663,98.16570282
664,98.16129804
665,98.16619754
666,98.19639921
667,98.29229712
668,98.30089808
669,98.32320213
670,98.35289717
671,98.40300083
672,98.48330021
673,98.54819775
674,98.64609838
675,98.68670106
676,98.77930284
677,98.76919985
678,98.82469773
679,98.5912025
680,98.70759845
681,98.79680276
682,98.68549705
683,98.6413002
684,98.62380028
685,98.50950241
686,98.43289852
687,98.41349721
688,98.36660028
689,98.26809764
690,98.2649982
691,98.25839996
692,98.17020297
693,98.16970229
694,98.1423974
695,98.08880091
696,98.06820154
697,98.17309976
698,98.19999933
699,98.14040065
700,98.28699827
701,98.10349941
702,98.17839861
703,98.14170003
704,98.2524991
705,98.30160141
706,98.27160239
707,98.3058989
708,98.31129909
709,98.31470251
710,98.41240048
711,98.28040004
712,98.30480218
713,98.23009968
714,98.21429849
715,98.21259975
716,98.26059937
717,98.17789793
718,98.15049767
719,98.21500182
720,98.1269002
721,98.03320169
722,97.98349738
723,97.94560075
724,97.79080153
725,97.72610068
726,97.70910144
727,97.72710204
728,97.68429995
729,97.55910039
730,97.5202024
731,97.60140181
732,97.63659835
733,97.66359925
734,97.59969711
735,97.58539796
736,97.63810039
737,97.63579965
738,97.71460295
739,97.7782011
740,97.83210158
741,97.90629745
742,97.94870019
743,98.07339907
744,98.12300205
745,98.16820025
746,98.15620184
747,98.18149805
748,98.15750122
749,98.2336998
750,98.2550025
751,98.20899963
752,98.17450047
753,98.12629819
754,98.09600115
755,97.99669981
756,97.94250131
757,97.92990088
758,97.86779881
759,97.86249995
760,97.74100184
761,97.70449996
762,97.67410159
763,97.67490029
764,97.6444006
765,97.65380025
766,97.75170088
767,97.75210023
768,97.68210053
769,97.63399959
770,97.75220156
771,97.82310128
772,97.91640043
773,97.99159765
774,98.1235981
775,98.24320078
776,98.24230075
777,98.37260246
778,98.35060239
779,98.3668983
780,98.43639731
781,98.35929871
782,98.23009968
783,98.22949767
784,98.16650152
785,97.98079729
786,97.8670001
787,97.77979851
788,97.6195991
789,97.43199944
790,97.25400209
791,97.05029726
792,96.8002975
793,96.63789868
794,96.34389877
795,96.11740112
796,95.87439895
797,95.54920197
798,95.2986002
799,95.04399896
800,94.83780265
801,94.54339743
802,94.39359903
803,94.20409799
804,94.09160018
805,93.97019744
806,93.90980005
807,93.80840063
808,93.82830262
809,93.86389852
810,93.91949773
811,94.00449991
812,94.06149983
813,94.14079785
814,94.31089759
815,94.47820187
816,94.73000169
817,94.92250085
818,95.16839981
819,95.47259808
820,95.72700262
821,95.88760138
822,96.17059827
823,96.47759795
824,96.67230248
825,96.8133986
826,97.06249833
827,97.21999764
828,97.25570083
829,97.31029868
830,97.38919735
831,97.44539857
832,97.47470021
833,97.43899703
834,97.24839926
835,97.16789722
836,97.03900218
837,96.84180021
838,96.50369883
839,96.31980062
840,96.07719779
841,95.78629732
842,95.47569752
843,95.20679712
844,94.89690065
845,94.55440044
846,94.29290295
847,94.06459928
848,93.83590221
849,93.51890087
850,93.30710173
851,93.15189719
852,93.01580191
853,92.89690256
854,92.82360077
855,92.71690249
856,92.77549982
857,92.69970059
858,92.83069968
859,92.96830297
860,93.02589893
861,93.14510226
862,93.33699942
863,93.53340268
864,93.77030134
865,94.02490258
866,94.29129958
867,94.59369779
868,94.92650032
869,95.1973021
870,95.39669752
871,95.74300051
872,95.97550035
873,96.19820118
874,96.39549851
875,96.75819874
876,96.84399962
877,97.03170061
878,97.25660086
879,97.27389812
880,97.7034986
881,97.74879813
882,97.77969718
883,97.91020155
884,97.94999957
885,98.00050259
886,97.90859818
887,97.79599905
888,97.70590067
889,97.61369824
890,97.51549959
891,97.42950201
892,97.1724987
893,96.98380232
894,96.83459997
895,96.6531992
896,96.4048028
897,96.25689983
898,96.01539969
899,95.85040212
900,95.72960138
901,95.59739828
902,95.54659724
903,95.38440108
904,95.23720145
905,95.30540109
906,95.20859718
907,95.06239891
908,95.05320191
909,95.16360164
910,95.11669874
911,95.29209733
912,95.3553021
913,95.36030293
914,95.53729892
915,95.67660093
916,95.60160041
917,95.8221972
918,95.91439962
919,96.064502
920,96.41839862
921,96.51539922
922,96.70630097
923,96.8321979
924,96.88770175
925,96.94839716
926,97.00090289
927,97.01690078
928,97.11740017
929,97.14050293
930,97.21339941
931,97.01679945
932,96.98320031
933,97.04480171
934,96.82049751
935,96.66960239
