Wavelength,%T
380,28.93519998
381,28.23889852
382,27.64140069
383,29.31689918
384,30.96669912
385,30.43499887
386,34.65059996
387,45.61600089
388,48.72559905
389,45.97809911
390,45.45069933
391,50.12109876
392,53.18509936
393,52.50419974
394,49.57689941
395,45.59189975
396,44.40140128
397,48.09879959
398,53.95169854
399,53.35710049
400,46.25439942
401,40.47519863
402,42.39409864
403,49.35190082
404,54.2881012
405,51.4169991
406,45.48830092
407,43.22629869
408,46.7734009
409,53.8064003
410,58.83719921
411,59.4061017
412,57.43569732
413,55.13010025
414,54.37179804
415,54.76819873
416,55.73740005
417,56.31639957
418,55.60899973
419,52.52159834
420,48.10029864
421,43.17219853
422,38.24050128
423,34.77810025
424,32.85880089
425,33.75709951
426,36.34760082
427,36.52369976
428,32.20619857
429,24.40859973
430,18.55189949
431,16.1202997
432,18.85430068
433,28.0813992
434,38.61489892
435,42.02849865
436,36.88200116
437,28.49810123
438,23.12379926
439,24.11080003
440,31.82969987
441,36.02339923
442,36.10279858
443,33.48549902
444,23.43789935
445,11.2894997
446,4.122440144
447,1.565350033
448,0.641203998
449,0.296960003
450,0.191092002
451,0.131199998
452,0.0916433
453,0.0831098
454,0.076790602
455,0.0665528
456,0.090755301
457,0.115229003
458,0.187923003
459,0.24192899
460,0.440894999
461,0.825673994
462,1.655000076
463,2.663129941
464,3.399369866
465,3.711820021
466,4.088950157
467,5.283480138
468,7.969669998
469,13.93779963
470,24.75100011
471,38.3138001
472,46.48360014
473,46.56170011
474,47.83599973
475,51.24400258
476,50.94370246
477,45.69250047
478,39.83480036
479,37.79309988
480,42.55380034
481,50.77670217
482,54.98160124
483,49.93669987
484,43.38319898
485,39.69829977
486,31.37969971
487,18.85710061
488,12.92310059
489,14.16900009
490,20.72129995
491,31.21869862
492,36.30599976
493,30.45899868
494,20.98740041
495,14.9048999
496,12.39639968
497,13.84650022
498,19.57940012
499,29.61780131
500,39.7141993
501,40.31890035
502,31.99059963
503,24.9428004
504,23.48259985
505,24.21790063
506,22.12630063
507,15.24070054
508,8.423870057
509,4.104100168
510,2.360600047
511,1.693470031
512,1.411349978
513,1.368610002
514,1.485319994
515,1.64694991
516,1.63173005
517,1.330680028
518,0.907584
519,0.552899018
520,0.343165011
521,0.232770992
522,0.198736996
523,0.174415996
524,0.171767001
525,0.190369994
526,0.21740899
527,0.274232007
528,0.33873599
529,0.316294003
530,0.253951992
531,0.168293004
532,0.114746997
533,0.074458797
534,0.058585597
535,0.049985602
536,0.050757302
537,0.050813297
538,0.052950298
539,0.058964401
540,0.080912799
