Wavelength,%T
380,0.0427494
381,0.072492199
382,0.111183
383,0.130582997
384,0.161882001
385,0.312399003
386,0.43099001
387,0.951477978
388,2.255930007
389,3.983600065
390,8.000309765
391,15.76700062
392,26.8155992
393,38.84109855
394,45.24079859
395,48.40309918
396,53.88939977
397,65.28509855
398,81.88040257
399,91.79080129
400,95.63180208
401,96.61999941
402,96.94600105
403,96.88580036
404,96.71189785
405,96.29210234
406,96.24249935
407,96.48560286
408,96.85969949
409,97.24609852
410,97.51440287
411,97.48439789
412,97.32009768
413,97.00599909
414,96.67800069
415,96.4763999
416,96.6621995
417,96.88860178
418,97.14199901
419,97.41399884
420,97.78609872
421,98.0036974
422,98.09290171
423,98.0610013
424,97.88749814
425,97.75210023
426,97.50909805
427,97.24379778
428,97.0269978
429,96.95709944
430,96.77510262
431,96.6794014
432,96.69979811
433,96.66860104
434,96.75260186
435,96.82520032
436,96.99199796
437,97.02320099
438,97.24990129
439,97.35410213
440,97.39540219
441,97.40859866
442,97.36880064
443,97.33390212
444,97.12150097
445,97.13079929
446,97.1709013
447,97.3573029
448,97.13789821
449,97.15880156
450,97.2243011
451,97.27209806
452,97.3254025
453,97.31029868
454,97.46659994
455,97.39440084
456,97.34259844
457,97.1535027
458,97.17140198
459,97.22899795
460,97.17730284
461,97.03990221
462,96.7459023
463,96.74109817
464,96.875
465,96.96760178
466,97.09799886
467,97.28270173
468,97.35159874
469,97.349298
470,97.44439721
471,97.53469825
472,97.59979844
473,97.69650102
474,97.62639999
475,97.46209979
476,97.2341001
477,97.03819752
478,96.87439799
479,96.73669934
480,96.66370153
481,96.54020071
482,96.43729925
483,96.3883996
484,96.46540284
485,96.59889936
486,96.57269716
487,96.6489017
488,96.73140049
489,96.90099955
490,97.07999825
491,97.19370008
492,97.19660282
493,97.27860093
494,97.31630087
495,97.33039737
496,97.36179709
497,97.4560976
498,97.43959904
499,97.50409722
500,97.46379852
501,97.44690061
502,97.34799862
503,97.42079973
504,97.41680026
505,97.41489887
506,97.46310115
507,97.52349854
508,97.57859707
509,97.6846993
510,97.75739908
511,97.81100154
512,97.8184998
513,97.86499739
514,97.93649912
515,98.03199768
516,97.99190164
517,97.98460007
518,97.99709916
519,97.9057014
520,97.82379866
521,97.81540036
522,97.74590135
523,97.78079987
524,97.74640203
525,97.6813972
526,97.71239758
527,97.75230289
528,97.89689779
529,97.88249731
530,97.63690233
531,97.45309949
532,97.41389751
533,97.35770226
534,97.25990295
535,97.08330035
536,96.92080021
537,96.86560035
538,96.79179788
539,96.75109982
540,96.707201
541,96.60379887
542,96.61120176
543,96.62430286
544,96.67130113
545,96.69280052
546,96.68790102
547,96.70850039
548,96.81379795
549,96.90520167
550,96.92850113
551,96.8618989
552,96.90319896
553,96.86089754
554,96.73100114
555,96.63040042
556,96.5964973
557,96.63720131
558,96.57120109
559,96.47889733
560,96.43939734
561,96.44640088
562,96.45479918
563,96.49749994
564,96.49909735
565,96.50819898
566,96.57899737
567,96.61960006
568,96.75449729
569,96.87020183
570,96.95670009
571,97.09939957
572,97.23399878
573,97.35109806
574,97.47819901
575,97.56600261
576,97.59629965
577,97.68630266
578,97.7651
579,97.74519801
580,97.64789939
581,97.43919969
582,97.25689888
583,97.1495986
584,97.10230231
585,97.00549841
586,96.93449736
587,96.86539769
588,96.76280022
589,96.66650295
590,96.66479826
591,96.59929872
592,96.53639793
593,96.49019837
594,96.47259712
595,96.46909833
596,96.60369754
597,96.60850167
598,96.6753006
599,96.6588974
600,96.68319821
601,96.96149826
602,97.26189971
603,97.26449847
604,97.34249711
605,97.40399718
606,97.44930267
607,97.37719893
608,97.37100005
609,97.38399982
610,97.36210108
611,97.21750021
612,97.11449742
613,97.17059731
614,97.1355021
615,97.11880088
616,96.95960283
617,96.92459702
618,96.92890048
619,96.95360065
620,96.9802022
621,97.12039828
622,97.18350172
623,97.13379741
624,97.14639783
625,97.23939896
626,97.21320271
627,97.30550051
628,97.34719992
629,97.45759964
630,97.49820232
631,97.54769802
632,97.61710167
633,97.60109782
634,97.74940014
635,97.70290256
636,97.68109918
637,97.61580229
638,97.54390121
639,97.55169749
640,97.56979942
641,97.50249982
642,97.24590182
643,97.12669849
644,97.04700112
645,96.91690207
646,96.85299993
647,96.70289755
648,96.57850266
649,96.41900063
650,96.40650153
651,96.37989998
652,96.30240202
653,96.2100029
654,96.2207973
655,96.28620148
656,96.26269937
657,96.23860121
658,96.30979896
659,96.39419913
660,96.40380144
661,96.57739997
662,96.60519958
663,96.57999873
664,96.64350152
665,96.62179947
666,96.8355
667,96.91489935
668,96.97179794
669,97.14220166
670,97.07700014
671,97.1897006
672,97.14710116
673,97.01020122
674,97.00149894
675,96.94380164
676,96.89099789
677,96.91640139
678,96.79160118
679,96.65409923
680,96.54089808
681,96.42320275
682,96.29250169
683,96.22259736
684,96.13379836
685,96.10030055
686,95.96890211
687,95.88119984
688,95.79210281
689,95.79660296
690,95.82239985
691,95.61520219
692,95.65060139
693,95.64359784
694,95.71959972
695,95.79460025
696,95.78740001
697,95.87690234
698,96.10540271
699,96.2059021
700,96.3481009
701,96.35540247
702,96.47200108
703,96.64599895
704,96.91389799
705,97.17980027
706,97.47049809
707,97.56060243
708,97.44030237
709,97.39800096
710,97.57189751
711,97.56789804
712,97.58790135
713,97.57300019
714,97.57859707
715,97.54440188
716,97.47110009
717,97.44480252
718,97.34209776
719,97.24689722
720,97.14689851
721,97.05129862
722,96.81329727
723,96.64130211
724,96.65510058
725,96.55219913
726,96.49400115
727,96.34180069
728,96.39340043
729,96.56680226
730,96.42390013
731,96.2413013
732,96.1458981
733,96.16519809
734,96.07809782
735,96.11099958
736,96.06559873
737,96.10850215
738,96.17180228
739,96.28540277
740,96.35620117
741,96.41619921
742,96.60369754
743,96.68650031
744,96.78559899
745,96.91969752
746,96.96080089
747,97.05190063
748,97.1002996
749,97.16089964
750,97.13439941
751,97.22279906
752,97.26409912
753,97.19370008
754,97.18739986
755,97.25220203
756,97.20360041
757,97.15139866
758,97.02240229
759,96.86779976
760,96.7813015
761,96.70000076
762,96.5511024
763,96.41500115
764,96.29080296
765,96.20169997
766,96.07120156
767,95.92099786
768,95.76960206
769,95.65950036
770,95.52080035
771,95.39279938
772,95.36160231
773,95.30770183
774,95.25129795
775,95.14269829
776,95.06450295
777,95.07910013
778,95.07319927
779,95.16519904
780,95.19559741
781,95.2583015
782,95.39800286
783,95.49540281
784,95.74419856
785,95.81390023
786,96.02530003
787,96.14980221
788,96.30280137
789,96.48349881
790,96.67389989
791,96.90899849
792,97.07769752
793,97.1988976
794,97.32900262
795,97.43440151
796,97.53860235
797,97.56479859
798,97.72260189
799,97.80210257
800,97.82159925
801,97.8316009
802,97.77299762
803,97.71370292
804,97.59349823
805,97.4807024
806,97.35599756
807,97.22229838
808,96.97560072
809,96.78170085
810,96.60660028
811,96.34150267
812,96.17609978
813,95.98190188
814,95.75269818
815,95.45810223
816,95.22759914
817,94.96970177
818,94.80919838
819,94.63869929
820,94.4757998
821,94.35560107
822,94.30509806
823,94.18950081
824,94.10870075
825,94.05739903
826,94.05440092
827,94.04820204
828,94.16040182
829,94.25789714
830,94.32410002
831,94.46259737
832,94.58079934
833,94.61830258
834,94.82089877
835,95.03440261
836,95.30969858
837,95.49329877
838,95.67599893
839,95.85080147
840,96.02530003
841,96.26430273
842,96.49720192
843,96.56379819
844,96.618402
845,96.75930142
846,96.83250189
847,96.88360095
848,96.99980021
849,97.06360102
850,97.07480073
851,97.05700278
852,97.04070091
853,96.96059823
854,96.86009884
855,96.75210118
856,96.63209915
857,96.55020237
858,96.41699791
859,96.3307023
860,96.23510242
861,96.13720179
862,96.01709843
863,95.91789842
864,95.80910206
865,95.58420181
866,95.50369978
867,95.28890252
868,95.04290223
869,94.63890195
870,94.03880239
871,93.36460233
872,92.50720143
873,91.2800014
874,89.85900283
875,88.1649971
876,86.15199924
877,83.94929767
878,81.43690228
879,78.90470028
880,76.18790269
881,73.63499999
882,71.05749846
883,68.74899864
884,66.58250093
885,64.54660296
886,62.70490289
887,61.14580035
888,59.74929929
889,58.55469704
890,57.61970282
891,56.76050186
892,55.97090125
893,55.33559918
894,54.79789972
895,54.24990058
896,53.74730229
897,53.21689844
898,52.71049738
899,52.04510093
900,51.33180022
901,50.58060288
902,49.53739941
903,48.33419919
904,47.03280032
905,45.53759992
906,43.84459853
907,42.07499921
908,40.08440077
909,37.99810112
910,35.96400023
911,33.73509943
912,31.56599998
913,29.50260043
914,27.37900019
915,25.32959878
916,23.40999991
917,21.66830003
918,19.93390024
919,18.31990033
920,16.83180034
921,15.45699984
922,14.25369978
923,13.08989972
924,12.00480014
925,11.03190035
926,10.20530015
927,9.419579804
928,8.687160164
929,8.021440357
930,7.419960201
931,6.880539656
932,6.387799978
933,5.932280049
934,5.517579988
935,5.181780085
936,4.839339852
937,4.53639999
938,4.242959991
939,3.971090168
940,3.730300069
941,3.501360118
942,3.296170011
943,3.10711991
944,2.907359973
945,2.595840022
946,2.441990003
947,2.304000035
948,2.179560065
949,2.058620006
950,1.950220019
951,1.843620092
952,1.745700091
953,1.653609984
954,1.567360014
955,1.485189982
956,1.411340013
957,1.342619956
958,1.28352996
959,1.213120017
960,1.153500006
961,1.101869997
962,1.050920039
963,1.013450045
964,0.974582043
965,0.923534017
966,0.893187989
967,0.859089009
968,0.825174991
969,0.793179963
970,0.754377991
971,0.732932985
972,0.705497013
973,0.677627977
974,0.662029022
975,0.636138022
976,0.616218988
977,0.587920984
978,0.57671601
979,0.559173012
980,0.542277005
981,0.528040994
982,0.500264019
983,0.492954021
984,0.477438979
985,0.466640992
986,0.455719
987,0.451515988
988,0.438862015
989,0.428153994
990,0.412445981
991,0.411158009
992,0.399899995
993,0.387338991
994,0.38334399
995,0.366625004
996,0.367474998
997,0.356244994
998,0.349887996
999,0.340823992
1000,0.340501009
1001,0.327408011
1002,0.321193994
1003,0.319006993
1004,0.310116005
1005,0.307942997
1006,0.30964301
1007,0.297287991
1008,0.299049006
1009,0.293855998
1010,0.283515011
1011,0.285407994
1012,0.278253993
1013,0.271004997
1014,0.266991998
1015,0.272001
1016,0.266949995
1017,0.260104006
1018,0.256331009
1019,0.25996
1020,0.25379099
1021,0.251284009
1022,0.252942997
1023,0.242785993
1024,0.244442001
1025,0.248601008
1026,0.240336009
1027,0.24357501
1028,0.244860002
1029,0.245881011
1030,0.227569998
1031,0.241416995
1032,0.242429995
1033,0.233095
1034,0.235494995
1035,0.236756005
1036,0.237481995
1037,0.231849006
1038,0.229091011
1039,0.224161008
