Wavelength,%T
320,22.98640013
320.5,32.33759999
321,41.68879986
321.5,51.63350105
322,58.02990198
322.5,57.3251009
323,49.20339882
323.5,39.1741991
324,30.46250045
324.5,24.56499934
325,21.09940052
325.5,19.39650029
326,19.08089966
326.5,19.98510063
327,22.2250998
327.5,26.17009878
328,33.07720125
328.5,42.02769995
329,53.19160223
329.5,65.05720019
330,74.37800169
330.5,77.90139914
331,74.70470071
331.5,66.91650152
332,57.93099999
332.5,50.16419888
333,44.06369925
333.5,40.81220031
334,39.20600116
334.5,39.23630118
335,40.86869955
335.5,43.96469891
336,48.27460051
336.5,52.86530256
337,56.40990138
337.5,57.61989951
338,55.61400056
338.5,51.29579902
339,45.7502991
339.5,39.97240067
340,34.55710113
340.5,29.52879965
341,25
341.5,21.06299996
342,17.55580008
342.5,14.17170018
343,10.81570014
343.5,8.197499812
344,6.082829833
344.5,4.427580163
345,3.221049905
345.5,2.347240038
346,1.757810079
346.5,1.325280033
347,1.028969977
347.5,0.817504991
348,0.65098498
348.5,0.524243992
349,0.44333199
349.5,0.413969997
350,0.359720993
350.5,0.327073992
351,0.305701001
351.5,0.266591995
352,0.256553991
352.5,0.254386989
353,0.244378997
353.5,0.231831009
354,0.228694989
354.5,0.237395009
355,0.225375989
355.5,0.232386007
356,0.236996007
356.5,0.252399989
357,0.277263997
357.5,0.304580992
358,0.330655999
358.5,0.360188005
359,0.389543991
359.5,0.46412698
360,0.541967992
360.5,0.636577001
361,0.763292983
361.5,0.959973037
362,1.213639975
362.5,1.563980058
363,2.084710076
363.5,2.904910035
364,3.998269886
364.5,5.531169847
365,7.625780255
365.5,10.40519997
366,13.87590021
366.5,17.71250069
367,21.79660052
367.5,25.95190108
368,29.13759947
368.5,31.90590143
369,34.48309898
369.5,37.18290031
370,40.32970071
370.5,44.00529861
371,48.54179919
371.5,54.18319702
372,59.32670236
372.5,64.22129869
373,68.66840124
373.5,72.37949967
374,75.56980252
374.5,78.39720249
375,81.09639883
375.5,83.68729949
376,85.78060269
376.5,87.7481997
377,89.63860273
377.5,91.19240046
378,92.65019894
378.5,93.918401
379,95.06260157
379.5,95.83010077
380,95.96499801
380.5,96.43809795
381,96.65690064
381.5,96.54930234
382,96.55150175
382.5,96.65660262
383,96.08709812
383.5,95.50020099
384,95.18380165
384.5,94.91329789
385,95.46710253
385.5,95.36610246
386,95.54290175
386.5,95.6929028
387,96.03959918
387.5,96.61970139
388,97.03789949
388.5,97.42720127
389,97.59879708
389.5,97.54499793
390,97.37709761
390.5,97.3033011
391,97.40309715
391.5,97.39519954
392,97.18459845
392.5,96.65250182
393,96.07809782
393.5,95.80519795
394,95.76680064
394.5,95.59640288
395,95.53729892
395.5,95.69600224
396,95.91159821
396.5,96.14769816
