Wavelength,%T
380,0.215873006
381,0.179152004
382,0.142431003
383,0.128388999
384,0.234283996
385,1.091540046
386,4.381170124
387,4.494069889
388,1.401980035
389,1.335040014
390,2.748909965
391,3.758950159
392,2.954960056
393,3.23882997
394,5.601439998
395,10.29810011
396,15.06180018
397,16.75850004
398,8.077870309
399,1.250439975
400,0.382684008
401,0.296967011
402,0.300241006
403,0.2722
404,0.234161993
405,0.261197006
406,0.269731996
407,0.29849601
408,0.352676003
409,0.450997008
410,0.579226017
411,0.783551019
412,1.138889976
413,2.067849971
414,5.029920116
415,12.98020035
416,28.75039876
417,40.59120119
418,46.1086005
419,54.72000241
420,70.72460055
421,87.47230172
422,94.75110173
423,95.52779794
424,95.84050179
425,95.99789977
426,96.14980221
427,96.45659924
428,96.57620192
429,96.32239938
430,95.8706975
431,95.6938982
432,95.98140121
433,96.45199776
434,96.87849879
435,97.0115006
436,96.68869972
437,96.06919885
438,95.04529834
439,94.4536984
440,94.52700019
441,95.3930974
442,96.28790021
443,96.79960012
444,96.79430127
445,96.5339005
446,96.5124011
447,96.50939703
448,96.51989937
449,96.38410211
450,96.12439871
451,95.91159821
452,95.7728982
453,95.81040144
454,95.97529769
455,96.23190165
456,96.44060135
457,96.51619792
458,96.40619755
459,96.08830214
460,95.71980238
461,95.52869797
462,95.46790123
463,95.08339763
464,93.75100136
465,90.08769989
466,83.06549788
467,71.37640119
468,57.48890042
469,40.18589854
470,23.83230031
471,11.67839989
472,5.78263998
473,2.91978009
474,1.70555003
475,1.045839954
476,0.725590019
477,0.531300995
478,0.417141011
479,0.351102999
480,0.310072
481,0.286226999
482,0.275990996
483,0.278677
484,0.287810992
485,0.31465299
486,0.351801002
487,0.414428022
488,0.520385988
489,0.677445997
490,0.956394989
491,1.476120017
492,2.381159924
493,4.348479956
494,8.329270035
495,16.7584002
496,29.5599997
497,42.63109863
498,48.42559993
499,49.55199957
500,54.84420061
501,68.30819845
502,84.07220244
503,91.02590084
504,92.4695015
505,93.97979975
506,95.61169744
507,96.28949761
508,96.03739977
509,95.59519887
510,95.68510056
511,96.14279866
512,96.79639935
513,97.17299938
514,97.04939723
515,96.6455996
516,96.21989727
517,95.87939978
518,95.82750201
519,95.96369863
520,96.25779986
521,96.53429985
522,96.66050076
523,96.68120146
524,96.68710232
525,96.79070115
526,96.86650038
527,97.01060057
528,97.18869925
529,97.18260169
530,97.03630209
531,96.78729773
532,96.45680189
533,96.12560272
534,95.82669735
535,95.68480253
536,95.74959874
537,95.94339728
538,96.32959962
539,96.7244029
540,97.07499743
541,97.33330011
542,97.45389819
543,97.44870067
544,97.49910235
545,97.40059972
546,97.32670188
547,97.20230103
548,97.19420075
549,97.11250067
550,97.20960259
551,97.23560214
552,97.18250036
553,97.03890085
554,97.13510275
555,97.1314013
556,97.19070196
557,97.25120068
558,97.35130072
559,97.3138988
560,97.42079973
561,97.61980176
562,97.73769975
563,97.76380062
564,97.71810174
565,97.58030176
566,97.46659994
567,97.34889865
568,97.33250141
569,97.25660086
570,97.22380042
571,97.16650248
572,97.17429876
573,97.1167028
574,97.04639912
575,97.03469872
576,97.02929854
577,96.96180224
578,96.97970152
579,97.01949954
580,97.08020091
581,97.11589813
582,97.17289805
583,97.32649922
584,97.42559791
585,97.56169915
586,97.62200117
587,97.67370224
588,97.78019786
589,97.87799716
590,97.87229896
591,97.88269997
592,97.88119793
593,97.8793025
594,97.89119959
595,97.88169861
596,97.8711009
597,97.82220125
598,97.8226006
599,97.84709811
600,97.93009758
601,98.14100266
602,98.38659763
603,98.47549796
604,98.78370166
605,98.72260094
606,98.5484004
607,98.33729863
608,98.11480045
609,98.15220237
610,97.95680046
611,97.68559933
612,97.60940075
613,97.66560197
614,97.73740172
615,97.96350002
616,98.36779833
617,98.41240048
618,98.34799767
619,98.37369919
620,98.44310284
621,98.43119979
622,98.38219881
623,98.26290011
624,98.23499918
625,98.15080166
626,98.16769958
627,98.2780993
628,98.45370054
629,98.56079817
630,98.87670279
631,98.98830056
632,98.86749983
633,98.8713026
634,98.58239889
635,98.31979871
636,98.00689816
637,97.72549868
638,97.4578023
639,97.28099704
640,97.22570181
641,97.31990099
642,97.55179882
643,97.91929722
644,98.19589853
645,98.51160049
646,98.65249991
647,98.68100286
648,98.59989882
649,98.4818995
650,98.37070107
651,98.22819829
652,98.08980227
653,97.90019989
654,97.84219861
655,97.77519703
656,97.81619906
657,97.93549776
658,97.95899987
659,97.93319702
660,97.87650108
661,97.75490165
662,97.67510295
663,97.60329723
664,97.52789736
665,97.5301981
666,97.59560227
667,97.77079821
668,97.98290133
669,98.23030233
670,98.43459725
671,98.70100021
672,98.85299802
673,99.07209873
674,99.15980101
675,99.23689961
676,99.18040037
677,99.20449853
678,99.22909737
679,99.10669923
680,99.10399914
681,99.06820059
682,99.10650253
683,99.07259941
684,99.11620021
685,99.31240082
686,99.50910211
687,99.76329803
688,100
689,99.89429712
690,99.54299927
691,98.89969826
692,97.93009758
693,96.97350264
694,96.68930173
695,97.16320038
696,97.8128016
697,96.57599926
698,90.72930217
699,80.07820249
700,66.75519943
701,56.55260086
702,49.4727999
703,44.3524003
704,40.86520076
705,38.24529946
706,36.39340103
707,35.69619954
708,36.15460098
709,37.87739873
710,41.11459851
711,44.88050044
712,47.29610085
713,44.80690062
714,36.61589921
715,25.13900101
716,15.90320021
717,9.438189864
718,5.858990178
719,3.626240045
720,2.428710088
721,1.654900052
722,1.194019988
723,0.89140702
724,0.671429979
725,0.525349984
726,0.416440004
727,0.333218998
728,0.28647799
729,0.233498006
730,0.207014009
731,0.185051002
732,0.155080005
733,0.142779003
734,0.133445999
735,0.123955996
736,0.119362003
737,0.115110003
738,0.107090001
739,0.109442999
740,0.103501999
741,0.109750999
742,0.1039
743,0.103614002
744,0.113977003
745,0.123510999
746,0.144907995
747,0.176235999
748,0.23548
749,0.320334011
750,0.362958992
751,0.353038008
752,0.346506992
753,0.394997001
754,0.492420001
755,0.66684098
756,0.890769996
757,1.18904002
758,1.443879958
759,1.508169994
760,1.348009985
761,1.07367998
762,0.807959959
763,0.612726016
764,0.471139979
765,0.37660799
766,0.310282991
767,0.263159
768,0.227696006
769,0.208367012
770,0.190333999
771,0.179423997
772,0.167774002
773,0.164748996
774,0.158249005
775,0.148840004
776,0.149921002
777,0.151098997
778,0.155690999
779,0.155973004
780,0.163210998
781,0.162372005
782,0.175288005
783,0.182709994
784,0.183064002
785,0.199628994
786,0.211356999
787,0.229829992
788,0.236961991
789,0.248831999
790,0.270426995
791,0.291134999
792,0.296721002
793,0.321739004
794,0.339924009
795,0.36351399
796,0.375330006
797,0.391823007
798,0.41379598
799,0.430908985
800,0.455895998
801,0.491381017
802,0.514162006
803,0.546518015
804,0.588250998
805,0.625550002
806,0.67596999
807,0.744927023
808,0.81586903
809,0.899092015
810,0.995352026
811,1.123629976
812,1.24340998
813,1.364060026
814,1.457689982
815,1.482489984
816,1.434089988
817,1.308859978
818,1.13268001
819,0.948088989
820,0.767921004
821,0.616235007
822,0.501901982
823,0.411905022
824,0.348186004
825,0.313972007
826,0.305920001
827,0.312920008
828,0.315506989
829,0.310625997
830,0.302207004
831,0.349441008
832,0.595748983
833,0.955814961
834,0.959805027
835,0.686927978
836,0.317589007
837,0.135710998
838,0.104908005
839,0.097760197
840,0.105323002
841,0.101422996
842,0.111929001
843,0.125428999
844,0.143712002
845,0.165472005
846,0.213323999
847,0.273527997
848,0.374671002
849,0.576678989
850,0.935005024
851,1.546480041
852,2.208030038
853,2.370120026
854,1.803269982
855,1.089899987
856,0.614321977
857,0.355390995
858,0.229798001
859,0.163849001
860,0.117101998
861,0.094674999
862,0.0708882
863,0.054056302
864,0.042187001
865,0.037132099
866,0.0353638
867,0.029759199
868,0.032314399
869,0.0245273
870,0.022101399
871,0.0227998
872,0.0198333
873,0.016364
874,0.0210575
875,0.0131458
876,0.0204927
877,0.0175783
878,0.019882301
879,0.0188829
880,0.0216876
881,0.0195117
882,0.0222697
883,0.025664101
884,0.028996999
885,0.030432799
886,0.035402799
887,0.042504101
888,0.048607599
889,0.059175101
890,0.075103599
891,0.092538702
892,0.115797005
893,0.162144995
894,0.233757007
895,0.338652008
896,0.504445005
897,0.681699999
898,0.82775699
899,0.849112961
900,0.745294988
901,0.574629009
902,0.421479996
903,0.302511989
904,0.220424007
905,0.172697997
906,0.139019999
907,0.111473002
908,0.094774499
909,0.081672502
910,0.072939199
911,0.065643899
912,0.061379501
913,0.056272699
914,0.0536584
915,0.052348699
916,0.051674998
917,0.051099301
918,0.049547001
919,0.049368502
920,0.049112499
921,0.050537701
922,0.058654399
923,0.063406798
924,0.076151598
925,0.100169994
926,0.116360001
927,0.117435004
928,0.109679997
929,0.108160998
930,0.110213005
931,0.125251
932,0.145440002
933,0.168582005
934,0.191613997
935,0.231855991
936,0.279879011
937,0.339774997
938,0.421088981
939,0.534655014
940,0.681348983
941,0.878525991
942,1.133030001
943,1.448019966
944,1.798010059
945,2.137289941
946,2.398220077
947,2.528930083
948,2.50599999
949,2.362510003
950,2.144690044
951,1.913109981
952,1.682309993
953,1.474300027
954,1.292109955
955,1.131450012
956,0.991864037
957,0.871238019
958,0.765928021
959,0.676357001
960,0.596474996
961,0.528929988
962,0.473072985
963,0.430245977
964,0.397309987
965,0.382658001
966,0.35804701
967,0.313415006
968,0.259238994
969,0.212555006
970,0.181556004
971,0.156389002
972,0.138219004
973,0.126342999
974,0.112993002
975,0.103273999
976,0.096758403
977,0.0901922
978,0.084234902
979,0.079044199
980,0.075318699
981,0.073206401
982,0.068199902
983,0.0710344
984,0.065400702
985,0.0655704
986,0.060214102
987,0.061148399
988,0.065137399
989,0.064641499
990,0.066386
991,0.068194699
992,0.066924602
993,0.075275701
994,0.0766841
995,0.081852498
996,0.084673101
997,0.093513599
998,0.102762994
999,0.116869004
1000,0.125574996
1001,0.139710004
1002,0.158884004
1003,0.184018002
1004,0.216070004
1005,0.260826992
1006,0.313614006
1007,0.388662005
1008,0.498571014
1009,0.653020991
1010,0.86895898
1011,1.191589981
1012,1.60269998
1013,2.018499933
1014,2.346090041
1015,2.424119972
1016,2.23482009
1017,1.855039969
1018,1.456039958
1019,1.091939956
1020,0.829027966
1021,0.640252978
1022,0.509318989
1023,0.418750988
1024,0.351879001
1025,0.296922005
1026,0.257575
1027,0.230318005
1028,0.207048003
1029,0.184559997
1030,0.170492998
1031,0.159500004
1032,0.149631
1033,0.141899998
1034,0.133571005
1035,0.132894004
1036,0.127269002
1037,0.123050006
1038,0.128027995
1039,0.131913996
1040,0.141015998
1041,0.149308995
1042,0.190567004
1043,0.246514007
1044,0.274046999
1045,0.247642002
1046,0.202855002
1047,0.171623996
1048,0.171147997
1049,0.172108004
1050,0.181894004
1051,0.194644998
1052,0.202033995
1053,0.218026992
1054,0.237230002
1055,0.264704996
1056,0.291463989
1057,0.324294996
1058,0.369381998
1059,0.414363993
1060,0.470412988
1061,0.547198998
1062,0.623420998
1063,0.721073989
1064,0.834107026
1065,0.96642198
1066,1.121210027
1067,1.283629984
1068,1.461459976
1069,1.635959931
1070,1.794370078
1071,1.911870018
1072,1.981550083
1073,2.004590072
1074,1.982799917
1075,1.912100054
1076,1.819269918
1077,1.704609953
1078,1.601440087
1079,1.491560042
1080,1.388510037
1081,1.317510009
1082,1.245930046
1083,1.183329988
1084,1.143360045
1085,1.108350046
1086,1.081429981
1087,1.064070035
1088,1.061549969
1089,1.075519994
1090,1.079580002
1091,1.114199962
1092,1.17325997
1093,1.22039998
1094,1.259929966
1095,1.325619966
1096,1.363969967
1097,1.420599967
1098,1.488899998
1099,1.591059938
1100,1.707530022
