Wavelength,%T
380,0.396804977
381,2.275630087
382,4.703709856
383,4.651080072
384,5.804450065
385,8.653330058
386,7.497189939
387,5.301209912
388,11.6994001
389,17.22899973
390,11.40530035
391,5.222269893
392,6.491550058
393,12.87260056
394,13.53610009
395,5.839860067
396,2.32056994
397,3.812609985
398,10.47199965
399,12.62950003
400,6.546790153
401,2.078570053
402,1.932349987
403,2.760720067
404,2.503379993
405,1.252570003
406,0.490312977
407,0.301701995
408,0.307662995
409,0.489200978
410,0.688959984
411,0.585424015
412,0.349914003
413,0.175208005
414,0.094106997
415,0.141300994
416,0.114542001
417,0.140384003
418,0.239993003
419,0.233785994
420,0.179321005
421,0.127259002
422,0.077624898
423,0.042104299
424,0.070574199
425,0.069076102
426,0.127400004
427,0.0730859
428,0.058197702
429,0.075065298
430,0.0387284
431,0.045602501
432,0.058228202
433,0.0223831
434,0.056344399
435,0.086266297
436,0.078983197
437,0.0994078
438,0.072722102
439,0.049711601
440,0.078282499
441,0.082619197
442,0.054562901
443,0.059682498
444,0.072694302
445,0.086179801
446,0.067910599
447,0.081181899
448,0.056283502
449,0.053774199
450,0.037489799
451,0.060811499
452,0.058525999
453,0.069500803
454,0.080498902
455,0.104313996
456,0.109382998
457,0.116134004
458,0.058982498
459,0.079277402
460,0.069479097
461,0.0660619
462,0.064966601
463,0.110697001
464,0.139239
465,0.172079005
466,0.218335004
467,0.222955993
468,0.161641999
469,0.135789998
470,0.127024006
471,0.123500999
472,0.129299005
473,0.138527004
474,0.192199997
475,0.28107299
476,0.485398015
477,0.844870042
478,1.136859972
479,1.135279983
480,0.843331963
481,0.562795997
482,0.414134981
483,0.355892
484,0.31487199
485,0.328851002
486,0.365086994
487,0.448514987
488,0.577051984
489,0.824347045
490,1.190739963
491,1.644589938
492,2.02949997
493,2.081139944
494,1.814539917
495,1.491410006
496,1.215850003
497,1.075700019
498,1.01602003
499,1.044140011
500,1.179740019
501,1.420020033
502,1.796290092
503,2.261490002
504,2.478219941
505,2.26466991
506,1.757659949
507,1.217560004
508,0.840735994
509,0.600333977
510,0.464450987
511,0.379419001
512,0.31971999
513,0.294752
514,0.272133993
515,0.274355989
516,0.271120993
517,0.282763992
518,0.297978008
519,0.314041995
520,0.343160005
521,0.384051003
522,0.430335011
523,0.477149012
524,0.521632982
525,0.588577986
526,0.663331989
527,0.745424023
528,0.858587958
529,0.991617981
530,1.147359982
531,1.34653002
532,1.630740054
533,2.008469962
534,2.557040006
535,3.264540061
536,4.331110045
537,5.94558008
538,8.33638981
539,11.82669997
540,16.86969995
541,23.51779938
542,31.25309944
543,40.58899879
544,50.68780184
545,62.10529804
546,74.22230244
547,85.26930213
548,92.46410131
549,95.50619721
550,96.40390277
551,96.69229984
552,96.93300128
553,97.10789919
554,97.23719954
555,97.33979702
556,97.40309715
557,97.46590257
558,97.47790098
559,97.40009904
560,97.2743988
561,97.38199711
562,97.4940002
563,97.57980108
564,97.58549929
565,97.49580026
566,97.36430049
567,97.34529853
568,97.28620052
569,97.29729891
570,97.35509753
571,97.49429822
572,97.62250185
573,97.75649905
574,97.83639908
575,97.89630175
576,97.91290164
577,97.853899
578,97.79499769
579,97.74529934
580,97.70870209
581,97.71569967
582,97.78469801
583,97.78490067
584,97.84399867
585,97.9362011
586,97.95160294
587,98.07879925
588,98.15610051
589,98.19620252
590,98.10349941
591,98.07230234
592,98.03529978
593,97.79959917
594,97.9057014
595,98.07230234
596,98.01430106
597,97.92580009
598,97.74050117
599,98.10259938
600,98.03869724
601,98.11940193
602,98.17649722
603,98.1719017
604,98.20349813
605,98.29249978
606,98.26710224
607,98.33260179
608,98.28670025
609,98.4028995
610,98.63569736
611,98.72609973
612,98.87350202
613,98.96280169
614,98.98740053
615,98.91369939
616,98.78789783
617,98.67789745
618,98.54689837
619,98.42039943
620,98.31550121
621,98.23359847
622,98.11940193
623,98.15859795
624,98.25810194
625,98.31069708
626,98.31200242
627,98.39850068
628,98.46230149
629,98.52700233
630,98.5040009
631,98.50940108
632,98.46609831
633,98.46490026
634,98.48650098
635,98.51559997
636,98.53579998
637,98.54440093
638,98.51149917
639,98.52929711
640,98.55470061
641,98.58580232
642,98.6544013
643,98.66870046
644,98.71399999
645,98.75500202
646,98.69369864
647,98.69340062
648,98.64220023
649,98.5567987
650,98.5575974
651,98.48989844
652,98.47549796
653,98.45169783
654,98.42680097
655,98.5180974
656,98.61180186
657,98.65080118
658,98.68270159
659,98.72549772
660,98.73049855
661,98.76409769
662,98.86699915
663,98.83649945
664,98.82289767
665,98.82119894
666,98.78590107
667,98.82739782
668,98.74309897
669,98.72750044
670,98.69369864
671,98.6307025
672,98.65099788
673,98.62809777
674,98.61029983
675,98.63250256
676,98.79410267
677,98.85619879
678,98.70300293
679,98.86239767
680,98.9338994
681,98.81139994
682,98.74100089
683,98.80179763
684,98.82940054
685,98.87419939
686,98.83249998
687,98.84139895
688,98.83599877
689,98.83840084
690,98.81449938
691,98.82810116
692,98.82940054
693,98.76049757
694,98.6759007
