Wavelength,%T
380,27.37140059
381,29.26439941
382,31.68860078
383,32.12850094
384,33.55889916
385,35.95690131
386,38.88030052
387,42.9569006
388,49.26010072
389,54.311198
390,59.89469886
391,66.39940143
392,74.27390218
393,78.72880101
394,81.73220158
395,83.91910195
396,86.89889908
397,89.73050117
398,92.08980203
399,93.30930114
400,93.60870123
401,93.37109923
402,93.60499978
403,94.44220066
404,95.50589919
405,96.43440247
406,96.8888998
407,97.13339806
408,97.08849788
409,97.12449908
410,97.2374022
411,97.48399854
412,97.4322021
413,97.19110131
414,96.93400264
415,96.92609906
416,97.06270099
417,97.26430178
418,97.39469886
419,97.7256
420,97.92810082
421,97.94229865
422,98.07630181
423,98.28439951
424,98.78889918
425,99.14649725
426,99.33059812
427,99.3283987
428,99.24600124
429,98.88489842
430,98.63730073
431,98.54419827
432,98.55070114
433,98.35699797
434,98.70759845
435,98.70129824
436,98.57360125
437,98.25980067
438,97.81720042
439,97.48280048
440,97.419101
441,97.51049876
442,97.64299989
443,97.88290262
444,98.27079773
445,98.44939709
446,98.1990993
447,97.99050093
448,97.72260189
449,97.55020142
450,97.37589955
451,97.34960198
452,97.32990265
453,97.28569984
454,97.09510207
455,97.08909988
456,96.92890048
457,96.79610133
458,96.95140123
459,97.24360108
460,97.59899974
461,97.99309969
462,98.44689965
463,98.51040244
464,98.38280082
465,98.17309976
466,97.76710272
467,97.2465992
468,96.7828989
469,96.53329849
470,96.52379751
471,96.83210254
472,97.16529846
473,97.62849808
474,97.89500237
475,98.31209779
476,98.27619791
477,98.13439846
478,97.7907002
479,97.54530191
480,97.01920152
481,96.83319926
482,96.80460095
483,96.9012022
484,97.06969857
485,97.27209806
486,97.72139788
487,97.72620201
488,97.65030146
489,97.42159843
490,97.16460109
491,96.64139748
492,96.04099989
493,95.58100104
494,95.183599
495,94.81379986
496,94.91569996
497,95.02059817
498,95.10849714
499,95.25110126
500,95.51690221
501,95.59760094
502,95.65640092
503,95.58590055
504,95.65820098
505,95.57009935
506,95.50169706
507,95.63689828
508,95.87000012
509,96.0777998
510,96.28549814
511,96.57679796
512,97.01030254
513,97.35649824
514,97.62169719
515,97.70129919
516,97.75739908
517,97.73859978
518,97.56069779
519,97.28980064
520,97.01709747
521,96.60869837
522,96.21790051
523,95.99739909
524,95.59879899
525,95.33140063
526,95.14740109
527,94.97349858
528,94.86860037
529,94.84279752
530,94.80350018
531,94.8086977
532,94.85089779
533,95.00240088
534,95.15259862
535,95.32089829
536,95.50520182
537,95.59109807
538,95.62749863
539,95.66299915
540,95.53300142
541,95.43799758
542,95.21740079
543,94.98829842
544,94.73069906
545,94.46669817
546,94.26969886
547,94.10259724
548,94.00730133
549,94.18330193
550,94.51739788
551,94.78859901
552,95.07200122
553,95.54489851
554,95.98289728
555,96.51269913
556,97.11940289
557,97.38190174
558,97.73600101
559,97.66939878
560,97.63630033
561,97.67109752
562,97.64350057
563,97.34740257
564,97.31280208
565,97.13490009
566,96.92549706
567,96.7474997
568,96.55140042
569,96.49019837
570,96.42919898
571,96.52760029
572,96.65840268
573,96.70289755
574,96.79340124
575,96.97960019
576,96.92829847
577,96.91759944
578,97.35509753
579,97.53789902
580,97.29459882
581,97.34759927
582,97.40560055
583,97.3921001
584,97.36070037
585,97.72449732
586,97.65480161
587,98.0938971
588,97.90269732
589,97.8926003
590,98.11769724
591,98.2114017
592,98.20140004
593,98.18540215
594,97.98930287
595,98.17510247
596,97.97040224
597,97.65160084
598,97.75210023
599,97.93400168
600,97.8094995
601,97.56000042
602,97.7380991
603,98.23340178
